height (inches),left handspan (cm),right handspan (cm),sex,handedness,dominate eye
66,18,18,f,r,l
65,20.5,20.5,m,r,r
69,17.5,17.8,m,r,r
74,21.5,21.5,m,r,l
69,19.8,19.3,f,r,r
68,20,19.5,f,r,r
68,20.5,21,f,r,r
66,18,18,f,r,l
71.5,23.3,23.5,m,r,r
72,17,14.5,f,r,l
63,17,17,f,r,r
63,18.8,18.7,f,r,l
65,19,20,f,r,r
60,18,18.5,f,r,l
64,17.5,17.7,f,r,l
67,16,16.2,f,r,r
64,16,16,f,r,r
64,18.8,19,f,r,r
67,21,20.8,f,r,r
68,20.5,20.4,f,l,r
65,19,18.7,f,r,r
67,20.7,19.5,f,r,l
71,21.3,21.7,m,l,r
74,20.3,21,m,r,r
71,23,22,m,r,r
63,16.2,16.2,f,r,r
70,22.5,22.5,m,r,r
75,23,23,m,l,r
64,19.3,19.5,f,r,l
63,19,19,f,r,l
63,17,17,f,r,l
75,22,23,m,r,r
63,17.5,17.8,m,r,r
65,20.1,20.5,f,r,r
66,19.1,19.6,f,r,r
67,18,20,f,r,r
63,19.2,20,f,r,r
